ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	13850.791265244916	13850.791265244916	
1	7693.023812012943	14559.755036384073	
2	6892.925619604951	15009.94440982155	
3	6500.908184400128	15217.31001504828	
4	6368.641555241639	15378.130297584677	
5	6209.105941046222	15461.674078498603	
6	6288.228754637205	15338.934083002323	
7	6284.661504174388	15260.604276725817	
8	6336.281664298414	15138.703603855201	
9	6352.2150421232145	15013.729941223277	
10	6392.25427991691	14941.1155406607	
