Iteration	pt	ride	taxi	walk
0	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
1	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
2	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
3	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
4	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
5	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
6	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
7	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
8	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
9	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
10	1.2554139727575167E-4	4.0800954114619294E-4	0.988356035402674	0.011110413658904023
